Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY LargeMidcap 250,06-02-2023,9812,9852.25,9783.75,9843.4,21.2,.22,1779895908,38454.85,22.94,3.69,1.34
NIFTY LargeMidcap 250,07-02-2023,9855.35,9868.2,9789.4,9831.3,-12.1,-.12,1324788175,43327.15,22.82,3.69,1.35
NIFTY LargeMidcap 250,08-02-2023,9849.95,9926.4,9843.1,9914.7,83.4,.85,1347595718,43255.23,23.26,3.72,1.35
NIFTY LargeMidcap 250,09-02-2023,9925.45,9936.45,9877.3,9920.15,5.45,.05,1165466826,41198.09,23.25,3.72,1.35
NIFTY LargeMidcap 250,10-02-2023,9897.75,9930.25,9881.05,9921.9,1.75,.02,1153134296,35911.26,23.22,3.72,1.34
NIFTY LargeMidcap 250,13-02-2023,9915,9922.15,9816.05,9825.65,-96.25,-.97,1034170773,36290.38,23.14,3.68,1.36
NIFTY LargeMidcap 250,14-02-2023,9842.35,9854.05,9789.05,9839.35,13.7,.14,926176494,34996.56,23.28,3.69,1.33
NIFTY LargeMidcap 250,15-02-2023,9822.55,9895.2,9815.55,9886.45,47.1,.48,865813599,35941.11,23.45,3.71,1.34
NIFTY LargeMidcap 250,16-02-2023,9926.1,9959.3,9917.05,9932.3,45.85,.46,916059092,38362.59,23.53,3.72,1.32
NIFTY LargeMidcap 250,17-02-2023,9904.5,9928.2,9854.3,9874.8,-57.5,-.58,849274163,31204.21,23.09,3.69,1.34
NIFTY LargeMidcap 250,20-02-2023,9891.95,9898.2,9837.55,9849.1,-25.7,-.26,1064401920,29701.7,22.98,3.68,1.34
NIFTY LargeMidcap 250,21-02-2023,9874.6,9887.3,9816.6,9829.55,-19.55,-.2,1018918209,30645.3,22.94,3.68,1.33
NIFTY LargeMidcap 250,22-02-2023,9793.3,9799.5,9681.75,9705.45,-124.1,-1.26,969856377,31808.88,22.64,3.63,1.35
NIFTY LargeMidcap 250,23-02-2023,9712.45,9720.8,9626.7,9680.0,-25.45,-.26,1259280605,35395,22.58,3.62,1.35
