INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,BATAINDIA,27-May-2021,0,XX,1433.75,1442,1421.50,1422.15,1422.15,27,211.82,30800,9350,30-Mar-2021
FUTSTK,BATAINDIA,24-Jun-2021,0,XX,0,0,0,1443.15,1416.70,0,0,0,0,30-Mar-2021
FUTSTK,BEL,29-Apr-2021,0,XX,124.75,127.20,123.65,126.10,126.10,2337,22246.53,35150000,-3313600,30-Mar-2021
FUTSTK,BEL,27-May-2021,0,XX,124.65,127.60,124.50,126.90,126.90,62,593.44,874000,98800,30-Mar-2021
FUTSTK,BEL,24-Jun-2021,0,XX,126.65,127.20,126.65,126.95,126.95,3,28.91,22800,7600,30-Mar-2021
FUTSTK,BERGEPAINT,29-Apr-2021,0,XX,768.65,775,763.45,766,766,1091,9215.52,3096500,59400,30-Mar-2021
FUTSTK,BERGEPAINT,27-May-2021,0,XX,772,774.05,767.60,767.85,767.85,6,50.85,24200,2200,30-Mar-2021
FUTSTK,BERGEPAINT,24-Jun-2021,0,XX,0,0,0,741.45,766.55,0,0,0,0,30-Mar-2021
FUTSTK,BHARATFORG,29-Apr-2021,0,XX,592.50,602.50,592.40,594.25,594.25,800,7158.50,5077500,7500,30-Mar-2021
FUTSTK,BHARATFORG,27-May-2021,0,XX,600.50,600.50,595.95,597.40,594.20,6,53.80,30000,1500,30-Mar-2021
FUTSTK,BHARATFORG,24-Jun-2021,0,XX,0,0,0,575.95,595.90,0,0,0,0,30-Mar-2021
FUTSTK,BHARTIARTL,29-Apr-2021,0,XX,528.55,530.85,520.30,524.60,524.60,7149,69499.13,95035893,9255,30-Mar-2021
FUTSTK,BHARTIARTL,27-May-2021,0,XX,531.65,533.10,523.15,526.90,526.90,302,2949.72,1858404,57381,30-Mar-2021
FUTSTK,BHARTIARTL,24-Jun-2021,0,XX,532.55,532.55,527,529.50,529.50,28,274.50,35169,29616,30-Mar-2021
FUTSTK,BHEL,29-Apr-2021,0,XX,49.70,49.85,48.45,49.20,49.20,2191,22658.54,89607000,1386000,30-Mar-2021
FUTSTK,BHEL,27-May-2021,0,XX,49,49.70,48.85,49.40,49.40,21,217.66,3255000,84000,30-Mar-2021
FUTSTK,BHEL,24-Jun-2021,0,XX,49.20,49.60,49.20,49.60,49.60,2,20.74,63000,42000,30-Mar-2021
FUTSTK,BIOCON,29-Apr-2021,0,XX,402.70,413,399.85,411.80,411.80,2986,27993.89,13491800,972900,30-Mar-2021
FUTSTK,BIOCON,27-May-2021,0,XX,403.90,414.15,403.90,413.30,413.30,57,536.50,209300,41400,30-Mar-2021
FUTSTK,BIOCON,24-Jun-2021,0,XX,0,0,0,402.25,412.10,0,0,0,0,30-Mar-2021
FUTSTK,BOSCHLTD,29-Apr-2021,0,XX,13633.55,14414.80,13633.55,14273.05,14273.05,1216,8590.54,84950,-4300,30-Mar-2021
FUTSTK,BOSCHLTD,27-May-2021,0,XX,13932.15,14440.95,13932.15,14339.10,14339.10,16,113.58,1500,450,30-Mar-2021
FUTSTK,BOSCHLTD,24-Jun-2021,0,XX,0,0,0,13816.60,14382.75,0,0,0,0,30-Mar-2021
FUTSTK,BPCL,29-Apr-2021,0,XX,432.60,434.75,423.90,432.55,432.55,6226,48146.91,44748000,-617400,30-Mar-2021
FUTSTK,BPCL,27-May-2021,0,XX,430.50,436.50,425.95,434.10,434.10,288,2234.15,660600,97200,30-Mar-2021
FUTSTK,BPCL,24-Jun-2021,0,XX,428.50,434.20,428.50,434.10,434.10,4,31.12,21600,3600,30-Mar-2021
